graph_type,k,k_bfs_time,tk_time,k_bfs_abs_error,tk_abs_error
dense,1,0.0083192460006102,0.29146487400673016,0.0,0.0
dense,2,0.012452242003443298,0.2954468096625836,0.0,0.0
dense,4,0.016071554671119235,0.2913114046580934,0.0,0.0
dense,8,0.017332950674851067,0.29477450967533514,0.0,0.0
random_sparse,1,0.0004926853386374333,0.004740837001008901,4.333333333333333,3.0
random_sparse,2,0.0009497343271504666,0.00471894466318189,0.0,3.0
random_sparse,4,0.003481068337957034,0.006269429334982608,0.0,3.0
random_sparse,8,0.0028212590065473664,0.0046984356692215835,0.0,3.0
scale_free,1,0.0005003116772664667,0.0038158403379687004,0.0,0.0
scale_free,2,0.0007694583327974668,0.003791701009807433,0.0,0.0
scale_free,4,0.0017459620042548335,0.0038276806687159667,0.0,0.0
scale_free,8,0.0023463746668615,0.003824125994772933,0.0,0.0
small_world,1,0.0005791136742724334,0.0032872246714153,0.3333333333333333,0.0
small_world,2,0.0011205136737165,0.003279315006996767,0.0,0.0
small_world,4,0.0026454503434554335,0.0033143070080162,0.0,0.0
small_world,8,0.004065112996613566,0.0032488069943306997,0.0,0.0
tree,1,0.0004440170014276667,0.00035884866762590003,0.0,0.0
tree,2,0.0006253846707598333,0.0003597426693886,0.0,0.0
tree,4,0.002464722327810333,0.0003574719885363667,0.0,0.0
tree,8,0.0034532433298105664,0.0003597200072059667,0.0,0.0
