experiment,graph_type,label,k_bfs_time,tk_time,k_bfs_abs_error,tk_abs_error
bipartite,bipartite,n=100,0.0015914257455733002,0.004390993250126425,0.0,0.0
bipartite,bipartite,n=150,0.003627400510595125,0.01497721949999685,0.25,0.0
bipartite,bipartite,n=50,0.00073177325248245,0.0007404740026685751,0.0,0.0
capacity_distribution,random_sparse,high,0.00334224850666935,0.0156625872550648,0.75,0.0
capacity_distribution,random_sparse,low,0.00201987849141,0.0018496627526473752,0.0,0.0
capacity_distribution,random_sparse,medium,0.00200893099827224,0.00545018524280745,1.75,0.0
density_sweep,random_sparse,p=0.02,0.0020933519917888752,0.00120664775749895,0.5,0.0
density_sweep,random_sparse,p=0.05,0.0021834304934599752,0.01204204925306835,0.0,0.0
density_sweep,random_sparse,p=0.1,0.0033055144958779752,0.01208714975655305,0.75,0.0
density_sweep,random_sparse,p=0.2,0.005477083250298125,0.02091800024209075,0.0,0.0
grid,grid,10x10,0.0028693777494481,0.000566511516808475,0.0,0.0
grid,grid,15x15,0.007675931752601125,0.00125360600941345,0.0,0.0
grid,grid,20x20,0.023561151749163324,0.00513837450125715,0.0,0.0
size_sweep_sparse,random_sparse,n=100,0.0015407429891638,0.003181332263920875,0.0,0.0
size_sweep_sparse,random_sparse,n=150,0.003142696761642525,0.005709561752155375,0.75,0.0
size_sweep_sparse,random_sparse,n=200,0.0042110812428290505,0.0180279287451412,0.5,0.0
size_sweep_sparse,random_sparse,n=50,0.00065535576140965,2.369426510995254e-05,0.0,13.0
