experiment,graph_type,label,dataset_file,nodes,edges,density,k,exact_diameter,k_bfs_diameter,tk_diameter,k_bfs_time,tk_time,k_bfs_abs_error,tk_abs_error
real_world,local,email-Eu-core,email-Eu-core.txt,986,24929,0.05133596235623603,3,7,6,7,0.02593693000380881,0.06510688600246795,1,0
real_world,local,email-Eu-core,email-Eu-core.txt,986,24929,0.05133596235623603,4,7,6,7,0.010378281003795564,0.02857604800374247,1,0
real_world,local,road_traffic_network,road_traffic_network.csv,8,11,0.39285714285714285,3,3,3,3,7.445001392625272e-05,2.8277980163693428e-05,0,0
real_world,local,road_traffic_network,road_traffic_network.csv,8,11,0.39285714285714285,4,3,3,3,3.9251986891031265e-05,1.9964994862675667e-05,0,0
real_world,random_sparse,small100,small100.tar.gz,100,98,0.019797979797979797,3,5,5,5,0.00017837798804976046,0.0007373779953923076,0,0
real_world,random_sparse,small100,small100.tar.gz,100,98,0.019797979797979797,4,5,5,5,0.0001920360082294792,0.0007242199790198356,0,0
real_world,random_sparse,large500,large500.tar.gz,500,9384,0.07522244488977956,3,3,3,3,0.003428894007811323,0.3346523370128125,0,0
real_world,random_sparse,large500,large500.tar.gz,500,9384,0.07522244488977956,4,3,3,3,0.0038210740021895617,0.33291670799371786,0,0
real_world,random_sparse,holy,holy.tar.gz,50,319,0.26040816326530614,3,3,3,3,0.00021677298354916275,0.001001683995127678,0,0
real_world,random_sparse,holy,holy.tar.gz,50,319,0.26040816326530614,4,3,3,3,0.00017846300033852458,0.0009986530058085918,0,0
real_world,random_sparse,adjnoun_graph,adjnoun_graph.graph.bz2,55,103,0.06936026936026936,3,8,8,8,0.00019539400818757713,0.0002756080066319555,0,0
real_world,random_sparse,adjnoun_graph,adjnoun_graph.graph.bz2,55,103,0.06936026936026936,4,8,8,8,0.00016561098163947463,0.0002770639839582145,0,0
real_world,dense,C125.9,C125.9.clq,125,6963,0.8984516129032258,3,2,2,2,0.0013280909915920347,0.040255400992464274,0,0
real_world,dense,C125.9,C125.9.clq,125,6963,0.8984516129032258,4,2,2,2,0.00179054299951531,0.04132602398749441,0,0
real_world,dense,DSJC500_5,DSJC500_5.clq,500,62624,0.5019959919839679,3,2,2,2,0.01512060101958923,1.3883162699930836,0,0
real_world,dense,DSJC500_5,DSJC500_5.clq,500,62624,0.5019959919839679,4,2,2,2,0.015619621990481392,1.3701185440004338,0,0
real_world,dense,brock200_2,brock200_2.clq,200,9876,0.49628140703517587,3,2,2,2,0.002499762980733067,0.09310794199700467,0,0
real_world,dense,brock200_2,brock200_2.clq,200,9876,0.49628140703517587,4,2,2,2,0.002661236998392269,0.0929485890083015,0,0
real_world,dense,MANN_a9,MANN_a9.clq,45,918,0.9272727272727272,3,2,2,2,0.0002599339932203293,0.0022987049887888134,0,0
real_world,dense,MANN_a9,MANN_a9.clq,45,918,0.9272727272727272,4,2,2,2,0.00023840699577704072,0.0022716269886586815,0,0
real_world,small_world,karate,karate.graph.bz2,19,34,0.19883040935672514,3,5,5,5,8.025200804695487e-05,5.946401506662369e-05,0,0
real_world,small_world,karate,karate.graph.bz2,19,34,0.19883040935672514,4,5,5,5,6.840098649263382e-05,5.2138027967885137e-05,0,0
real_world,small_world,dolphin,dolphin.graph.bz2,38,54,0.07681365576102418,3,7,7,7,0.00011116999667137861,8.574200910516083e-05,0,0
real_world,small_world,dolphin,dolphin.graph.bz2,38,54,0.07681365576102418,4,7,7,7,0.00011213700054213405,7.075097528286278e-05,0,0
real_world,small_world,facebook_combined,facebook_combined.txt.gz,4039,88234,0.010819963503439287,3,8,8,8,0.021588798001175746,0.6467834119976033,0,0
real_world,small_world,facebook_combined,facebook_combined.txt.gz,4039,88234,0.010819963503439287,4,8,8,8,0.03047361900098622,0.6458488139905967,0,0
