network,participants,timesteps,edges,k,exact_diameter,k_bfs_diameter,tk_diameter,k_bfs_time,tk_time
0,7,7323,13,4,2,2,2,6.784600554965436e-05,2.244400093331933e-05
1,8,5328,22,4,2,2,2,5.7438010117039084e-05,2.235997817479074e-05
2,7,7533,18,4,2,2,2,5.227699875831604e-05,1.4614983228966594e-05
3,7,6264,19,4,2,2,2,5.1544979214668274e-05,1.3017008313909173e-05
4,8,7323,22,4,2,2,2,5.269999383017421e-05,1.793599221855402e-05
5,8,9651,19,4,2,2,2,4.713100497610867e-05,1.07480154838413e-05
6,7,7260,16,4,2,2,2,5.0780014134943485e-05,1.6113976016640663e-05
7,6,7245,15,4,1,1,1,4.4338987208902836e-05,2.1043990273028612e-05
8,7,6243,20,4,2,2,2,4.481698852032423e-05,1.058299676515162e-05
9,8,8340,22,4,2,2,2,4.831599653698504e-05,1.7259997548535466e-05
